Borough,VM1,VM2,VM3,VM4,VM5,VM6,VM7,PU5,PO75,ENG,RENT,BAME,TEMP,VM1_q,VM2_q,VM3_q,VM4_q,VM5_q,VM6_q,PU5_q,PO75_q,ENG_q,RENT_q,BAME_q,TEMP_q,VM7_q,LSOA11CD,LSOA11NM,PM25_pct,NO2_pct,Poll_Index,Poll_q
Croydon,6.027397260273974,13.714000000000000,10.057609558105469,23.359630584716797,0.004161661326700,85.258773811707385,0,4.810000000000000,9.490000000000000,1.620000000000000,7.660000000000000,43.350000000000001,18.206021294342733,2,3,2,2,1,1,1,5,2,2,2,5,1.000,E01000985,Croydon 021A,0.286363636363636,0.286363636363636,0.286363636363636,2.000000000000000
Croydon,8.016147635524797,12.048999999999999,10.712089538574219,27.548469543457031,0.007397925416838,34.978651404560708,18,6.660000000000000,8.119999999999999,2.350000000000000,5.640000000000000,45.950000000000003,18.089786570449583,2,4,4,4,3,3,4,4,3,2,3,4,1.000,E01000986,Croydon 021B,0.768181818181818,0.786363636363636,0.777272727272727,4.000000000000000
Croydon,4.976462676529926,7.404000000000000,11.061619758605959,30.701730728149418,0.020578280591787,42.849052895278895,1,5.290000000000000,7.650000000000000,1.510000000000000,0.980000000000000,36.570000000000000,18.206021294342733,1,5,5,5,5,2,2,4,2,1,2,5,1.000,E01000987,Croydon 021C,0.836363636363636,0.868181818181818,0.852272727272727,5.000000000000000
Croydon,7.997664915353182,12.609000000000000,10.084420204162598,23.503049850463867,0.008358308756550,33.769942425794291,58,4.570000000000000,7.230000000000000,1.180000000000000,3.660000000000000,39.210000000000001,18.091418610649374,2,4,2,2,3,4,1,4,2,1,2,4,3.000,E01000989,Croydon 018A,0.322727272727273,0.309090909090909,0.315909090909091,2.000000000000000
Croydon,26.022803487592221,9.265000000000001,10.195940017700195,24.145820617675781,0.014003705107208,26.450577803018309,16,3.960000000000000,5.910000000000000,2.860000000000000,53.619999999999997,53.659999999999997,18.116797929673528,5,4,2,2,4,4,1,3,3,5,3,4,1.000,E01000990,Croydon 045A,0.363636363636364,0.354545454545455,0.359090909090909,2.000000000000000
Croydon,4.987834549878346,13.788000000000000,10.083100318908691,23.558620452880859,0.005261917911226,90.283675221533414,10,3.860000000000000,13.420000000000000,1.230000000000000,2.180000000000000,40.310000000000002,18.206021294342733,1,3,2,2,2,1,1,5,2,1,2,5,1.000,E01000991,Croydon 018B,0.318181818181818,0.322727272727273,0.320454545454545,2.000000000000000
Croydon,17.997025285076848,6.166000000000000,10.075900077819824,23.542480468750000,0.005851376630404,59.345253552980331,2,5.110000000000000,4.420000000000000,2.030000000000000,36.969999999999999,57.020000000000003,18.206021294342733,4,5,2,2,2,1,2,2,3,5,4,5,1.000,E01000992,Croydon 014A,0.309090909090909,0.318181818181818,0.313636363636364,2.000000000000000
Croydon,6.991774383078732,7.717000000000000,10.243350028991699,24.272539138793945,0.033393207163267,24.698630742143685,0,7.800000000000000,5.930000000000000,2.470000000000000,7.310000000000000,44.369999999999997,18.066756843567688,2,5,2,2,5,4,5,3,3,2,2,4,1.000,E01000993,Croydon 021D,0.390909090909091,0.372727272727273,0.381818181818182,2.000000000000000
Croydon,11.986754966887418,15.958000000000000,10.441969871520996,25.690500259399418,0.006772078040646,41.047010728881204,100,4.980000000000000,6.370000000000000,6.970000000000000,5.590000000000000,71.909999999999997,18.017321673179389,3,3,3,3,2,3,1,4,5,2,5,3,5.000,E01000994,Croydon 009A,0.572727272727273,0.590909090909091,0.581818181818182,3.000000000000000
Croydon,11.973018549747048,11.207000000000001,10.455089569091797,25.668460845947266,0.029421050456512,68.940076471504270,100,6.430000000000000,5.790000000000000,9.029999999999999,6.590000000000000,75.760000000000005,18.017321673179389,3,4,4,3,5,1,3,3,5,2,5,3,5.000,E01000995,Croydon 009B,0.604545454545454,0.577272727272727,0.590909090909091,3.000000000000000
Croydon,12.964492155243599,13.307000000000000,10.360320091247559,24.964080810546875,0.006037538888579,40.636369913628819,100,5.240000000000000,4.340000000000000,5.530000000000000,5.780000000000000,74.189999999999998,18.017321673179389,3,3,3,3,2,3,2,2,5,2,5,3,5.000,E01000996,Croydon 009C,0.454545454545455,0.440909090909091,0.447727272727273,3.000000000000000
Croydon,15.970695970695971,10.044000000000000,10.371359825134277,25.023059844970703,0.030569708343572,20.953973459030369,100,4.230000000000002,6.380000000000000,5.480000000000000,10.550000000000001,75.450000000000003,18.070201347404652,4,4,3,3,5,5,1,4,5,3,5,4,5.000,E01000997,Croydon 009D,0.468181818181818,0.454545454545455,0.461363636363636,3.000000000000000
Croydon,18.012820512820511,12.234999999999999,10.571269989013672,26.471319198608398,0.006391658108732,34.790065106783572,100,7.540000000000000,4.340000000000000,5.700000000000000,19.149999999999999,74.879999999999995,18.017321673179389,4,4,4,4,2,4,5,2,5,4,5,3,5.000,E01000998,Croydon 010A,0.709090909090909,0.700000000000000,0.704545454545455,4.000000000000000
Croydon,13.002364066193852,8.476000000000004,10.409190177917480,25.270000457763672,0.000000000000000,21.268855576950926,100,4.310000000000000,6.510000000000000,5.040000000000000,4.830000000000000,76.920000000000002,18.017321673179389,3,5,3,3,1,5,1,4,5,2,5,3,5.000,E01000999,Croydon 009E,0.509090909090909,0.481818181818182,0.495454545454545,3.000000000000000
Croydon,14.019388516032810,9.779999999999999,10.618510246276855,26.993240356445312,0.006060645746425,20.573998357317581,100,5.550000000000000,5.100000000000000,6.640000000000000,8.090000000000000,71.849999999999994,18.103490277266207,3,4,4,4,2,5,2,3,5,2,5,4,5.000,E01001000,Croydon 010B,0.731818181818182,0.763636363636364,0.747727272727273,4.000000000000000
Croydon,25.000000000000000,13.199999999999999,10.467370033264160,25.994319915771484,0.008623666834785,37.671850375716154,100,6.990000000000000,3.880000000000000,5.980000000000000,19.449999999999999,71.269999999999996,18.040467828847657,5,3,4,4,3,3,4,2,5,4,5,3,5.000,E01001001,Croydon 013A,0.622727272727273,0.645454545454546,0.634090909090909,4.000000000000000
Croydon,12.966878083157152,8.487000000000000,10.619990348815918,26.662319183349609,0.055895173447914,22.972916287092591,100,6.090000000000000,4.330000000000000,6.240000000000000,13.080000000000000,79.189999999999998,18.103490277266207,3,5,4,4,5,5,3,2,5,3,5,4,5.000,E01001002,Croydon 009F,0.736363636363636,0.731818181818182,0.734090909090909,4.000000000000000
Croydon,16.973293768545993,9.730000000000000,11.884169578552246,35.314720153808594,0.021770342547298,39.179080697331855,100,6.430000000000000,4.350000000000000,3.730000000000000,19.699999999999999,70.670000000000002,18.103490277266207,4,4,5,5,5,3,3,2,4,4,5,4,5.000,E01001003,Croydon 010C,0.913636363636364,0.918181818181818,0.915909090909091,5.000000000000000
Croydon,20.008972633467923,12.581000000000000,10.524089813232422,26.002569198608398,0.035419735767788,22.135607062878680,100,7.200000000000000,2.950000000000000,3.790000000000000,22.070000000000000,74.140000000000001,18.120500006565699,5,4,4,4,5,5,4,1,4,4,5,5,5.000,E01001004,Croydon 015A,0.654545454545455,0.650000000000000,0.652272727272727,4.000000000000000
Croydon,13.014119091467158,4.765000000000000,11.225150108337402,30.235769271850582,0.008135850604389,14.904321057198960,100,6.710000000000000,3.410000000000000,6.920000000000000,12.980000000000000,78.849999999999994,18.154664527831414,3,5,5,5,3,5,4,1,5,3,5,5,5.000,E01001005,Croydon 019A,0.872727272727273,0.854545454545454,0.863636363636364,5.000000000000000
Croydon,18.973074514715091,4.919000000000000,10.652999877929688,25.671060562133789,0.014945984511626,40.134052876567182,6,7.010000000000000,2.300000000000000,3.680000000000000,29.520000000000000,71.010000000000005,18.000424878230881,4,5,4,3,4,3,4,1,4,4,5,3,1.000,E01001006,Croydon 016A,0.750000000000000,0.581818181818182,0.665909090909091,4.000000000000000
Croydon,14.008725157537565,5.697000000000000,10.922619819641113,28.374269485473633,0.019999441317118,19.966028788955576,12,3.830000000000000,4.740000000000000,6.180000000000000,8.240000000000000,80.269999999999996,18.000424878230881,3,5,5,5,5,5,1,2,5,2,5,3,1.000,E01001007,Croydon 016B,0.818181818181818,0.804545454545455,0.811363636363636,5.000000000000000
Croydon,18.976423231742380,5.229000000000000,12.539219856262209,40.106601715087891,0.007931352043814,19.639691944190137,78,5.730000000000000,4.180000000000000,5.520000000000000,31.190000000000001,70.060000000000002,18.154664527831414,4,5,5,5,3,5,2,2,5,5,5,5,4.000,E01001008,Croydon 019B,0.940909090909091,0.959090909090909,0.950000000000000,5.000000000000000
Croydon,15.022994379151765,7.872000000000000,11.952139854431152,36.542301177978509,0.042958884194334,16.768646986084633,100,7.980000000000000,2.940000000000000,5.300000000000000,18.410000000000000,75.379999999999995,18.154664527831414,4,5,5,5,5,5,5,1,5,4,5,5,5.000,E01001009,Croydon 019C,0.922727272727273,0.931818181818182,0.927272727272727,5.000000000000000
Croydon,25.015328019619865,2.559000000000000,10.942540168762209,27.071950912475582,0.008127562701833,13.121040746602411,100,5.120000000000000,3.470000000000000,3.690000000000000,39.869999999999997,63.399999999999999,18.154664527831414,5,5,5,4,3,5,2,1,4,5,4,5,5.000,E01001010,Croydon 019D,0.822727272727273,0.768181818181818,0.795454545454545,4.000000000000000
Croydon,18.993352326685660,7.084000000000000,11.134830474853516,30.579809188842773,0.010129572680128,14.182848833991009,100,9.260000000000000,2.370000000000000,6.210000000000000,28.420000000000002,76.920000000000002,18.154664527831414,4,5,5,5,3,5,5,1,5,4,5,5,5.000,E01001011,Croydon 019E,0.854545454545454,0.863636363636364,0.859090909090909,5.000000000000000
